doc_id,dominant_topic,tokens_preview,topic_probability,topic_label
0,0,개정 편의 상품 정보 주사 메뉴 노출 쓰기,1.0,0_로그인_등록_인증_공동인증서
1,0,원활 비대면 가입 감사,0.9736027211333854,0_로그인_등록_인증_공동인증서
2,0,별점 신분증 인증 인증 성공 이동 로그인 필수 계좌인증 계좌 인증 번호 증권사 무한 버퍼링 종료 버퍼링 내용 개선,0.9347634324872376,0_로그인_등록_인증_공동인증서
3,0,무결성 검증 실패,0.7674821484682368,0_로그인_등록_인증_공동인증서
4,0,과거 시중 금융 비교 부분 디자인 기능 수고,1.0,0_로그인_등록_인증_공동인증서
5,0,신분증 등록 인증 이안,0.9861902098553795,0_로그인_등록_인증_공동인증서
6,0,파킹통장 금리,0.796208216268364,0_로그인_등록_인증_공동인증서
7,0,생각,0.9594323063026611,0_로그인_등록_인증_공동인증서
8,0,리뉴얼,0.9889881784702367,0_로그인_등록_인증_공동인증서
9,0,최고,0.9406067862517596,0_로그인_등록_인증_공동인증서
10,0,대출 신상품,1.0,0_로그인_등록_인증_공동인증서
11,0,시스템 개편 서비스,0.9523266636089198,0_로그인_등록_인증_공동인증서
12,0,개편 사용자 편의,0.6659408948907843,0_로그인_등록_인증_공동인증서
13,0,만족,0.9592154750556594,0_로그인_등록_인증_공동인증서
14,0,한국증권금융앱 직관,1.0,0_로그인_등록_인증_공동인증서
15,0,비밀번호 임시 비밀번호 로그인 이전 비밀번호,1.0,0_로그인_등록_인증_공동인증서
16,0,짜증 필요,1.0,0_로그인_등록_인증_공동인증서
17,0,메뉴 정리,0.9615053278614837,0_로그인_등록_인증_공동인증서
18,0,금리 좋아서 최근 편의 개선,0.703456142786162,0_로그인_등록_인증_공동인증서
19,0,도움,1.0,0_로그인_등록_인증_공동인증서
20,0,관리,0.9661945201333683,0_로그인_등록_인증_공동인증서
21,0,디자인,0.9757359959004852,0_로그인_등록_인증_공동인증서
22,0,안정 개선 전반 인터페이스 직관 앞으로 예정,0.849654467812122,0_로그인_등록_인증_공동인증서
23,0,평상시 편의 인터페이스 은행앱 비교 손색 금리 예정,0.9792543611782772,0_로그인_등록_인증_공동인증서
24,0,리뉴얼 편의,1.0,0_로그인_등록_인증_공동인증서
25,0,모바일뱅킹 최근 이전 현상 디자인 불편 이제 문제 해결 이미지 전반 현대 느낌 이전 인증 등록 오류 발생 스트레스 지금 부분 개선 사용자 입장 안정 환경 조성,0.9660441179429254,0_로그인_등록_인증_공동인증서
26,0,직관 대출 상품,1.0,0_로그인_등록_인증_공동인증서
27,0,리뉴얼 사용성,1.0,0_로그인_등록_인증_공동인증서
28,0,안정 공공기관 디자인 개선 와이드 예수금 금리 전체 만족도,0.7194243493909732,0_로그인_등록_인증_공동인증서
29,0,해진 거래,0.9476912102922503,0_로그인_등록_인증_공동인증서
30,0,원격조정앱 감지 앱인지 처리,0.9370695844555759,0_로그인_등록_인증_공동인증서
31,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
32,0,경험 관리 무한 로그인 환장,0.912483146418582,0_로그인_등록_인증_공동인증서
33,0,개설 신분증 신청 본인인증 무한 반복 기본 해결 정상,0.9521632424498216,0_로그인_등록_인증_공동인증서
34,0,최악 로그인 인증서 등록 대머리,1.0,0_로그인_등록_인증_공동인증서
35,0,거지 인증 리뷰 처음,1.0,0_로그인_등록_인증_공동인증서
36,0,이거 이전,1.0,0_로그인_등록_인증_공동인증서
37,0,가입 페이지 가입 버튼 조작 앱중 가입 처음,0.9277404430913235,0_로그인_등록_인증_공동인증서
38,0,가입 동의 동의,0.9645523576505541,0_로그인_등록_인증_공동인증서
39,0,최악,0.1880971467746486,0_로그인_등록_인증_공동인증서
40,0,공무원 구지,0.9491668080013463,0_로그인_등록_인증_공동인증서
41,0,그놈 인증 인증 별점,0.9288622782599883,0_로그인_등록_인증_공동인증서
42,0,지문 등록 방법 로그인 등록 오류 이상 시도 재설치,1.0,0_로그인_등록_인증_공동인증서
43,0,금융인증서 등록 로딩,1.0,0_로그인_등록_인증_공동인증서
44,0,사용자 입장 불편,0.2479761187886472,0_로그인_등록_인증_공동인증서
45,0,공동인증서 타기 관가 공유 불편 사이트 자체,0.9280072210057221,0_로그인_등록_인증_공동인증서
46,0,매매 매도 증상 복구 손해 보기 거래 주식 매도 대상 주식 선택 이틀,1.0,0_로그인_등록_인증_공동인증서
47,0,인터넷뱅킹 금융 정보,1.0,0_로그인_등록_인증_공동인증서
48,0,이상 개발자 당사자 메뉴 선택 로그인 로그인,0.9175014630283013,0_로그인_등록_인증_공동인증서
49,0,로그인 지옥 경험 쓰레기 구로 관리,1.0,0_로그인_등록_인증_공동인증서
50,0,돌이 로그인 거래 조회 인정 필요 마지막 원위치 뺑뺑이 인내력 시험 평가 성질 휴대폰 수도,1.0,0_로그인_등록_인증_공동인증서
51,0,로그인 이동 로그 인창 접근 조치,0.9114811167624072,0_로그인_등록_인증_공동인증서
52,0,회사 스팸앱 성의,0.9268073999326746,0_로그인_등록_인증_공동인증서
53,0,자동 로그 아웃 공동인증서 보내기 앱에서 로그인 하면 오류,1.0,0_로그인_등록_인증_공동인증서
54,0,EH,0.9759489762444159,0_로그인_등록_인증_공동인증서
55,0,바이오인증 오류 환장,0.948551541982576,0_로그인_등록_인증_공동인증서
56,0,최악 쓰레기 페이지 수준,0.6390507117590831,0_로그인_등록_인증_공동인증서
57,0,사주 단독 독점,0.9771247976147586,0_로그인_등록_인증_공동인증서
58,0,최악,0.18765734595647274,0_로그인_등록_인증_공동인증서
59,0,피드백 관리도 사용자 편의 보장,0.9108988757048051,0_로그인_등록_인증_공동인증서
60,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
61,0,원격조종앱 발견 앱인지 할거 친절,1.0,0_로그인_등록_인증_공동인증서
62,0,개발자 테스트 출시 로그인 정상 기타 조회 로그인,0.9418985208948735,0_로그인_등록_인증_공동인증서
63,0,비용,0.9720332986341303,0_로그인_등록_인증_공동인증서
64,0,평가 평가 로그인 하면 주기 고객정보 갱신 정보 갱신 입력 방법 인증 메세지 등록 인증센터 인증서 등록 고객정보 갱신 정보 갱신 로그인 자체 고객 자금 운영 회사 운영,0.96174897338196,0_로그인_등록_인증_공동인증서
65,0,최악,0.18769095539390593,0_로그인_등록_인증_공동인증서
66,0,불편 예외 처리 로그인 실패,1.0,0_로그인_등록_인증_공동인증서
67,0,처음,1.0,0_로그인_등록_인증_공동인증서
68,0,한국증권금융 홈페이지 수준 서버 문제 메뉴 클릭 다음 이동 수분,1.0,0_로그인_등록_인증_공동인증서
69,0,금융인증서 로그인 클릭 해도 진입,1.0,0_로그인_등록_인증_공동인증서
70,0,불편,0.24622723102447716,0_로그인_등록_인증_공동인증서
71,0,인간 하네 담당자 담당자 개발 테스트 안함 반복,0.9644376821718472,0_로그인_등록_인증_공동인증서
72,0,회원 가입 ID 로그 인후 인증센터 간편인증 비밀번호 설정 신분증 촬영 다음 다운 테스트 짜증,1.0,0_로그인_등록_인증_공동인증서
73,1,쓰레기 접합 니다 투자,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
74,0,이런앱 앞으로 최악,0.6436392423467476,0_로그인_등록_인증_공동인증서
75,0,로그인 인증 무한 반복 짜증 지대,1.0,0_로그인_등록_인증_공동인증서
76,0,할라 하면 로그인 로그인 인증서 센터 인증센터 인증 로그인 무한루프 반복 구로 불편,1.0,0_로그인_등록_인증_공동인증서
77,0,공동인증서 등록 계속 로그인 하고 공동인증서,0.9902534257186303,0_로그인_등록_인증_공동인증서
78,0,로그인 조회 회원 가입 이랑 본인인증 시키,0.916369966973764,0_로그인_등록_인증_공동인증서
79,0,인간 불편 터치 횟수 로딩 최소한 금융 비교 개선 중복 프로세스 인증서 발급 입력 버튼 약관 환장,0.9617960309660836,0_로그인_등록_인증_공동인증서
80,0,최악 세계 최악 순위 등극 수준 부끄러움,0.6391775033874083,0_로그인_등록_인증_공동인증서
81,0,인증서 발급 업무 처리 인증서 문제,1.0,0_로그인_등록_인증_공동인증서
82,0,대가리,0.9864100528691608,0_로그인_등록_인증_공동인증서
83,0,사용자 로그인 메뉴 이동 로그인 필요 로그인 버퍼 하루 종일 별점,0.9835035663731235,0_로그인_등록_인증_공동인증서
84,0,개막장앱 처음 해외 대출 연장 사투 초딩 개발자 오류 인증서 다운 비밀번호 관리 퇴사 아무도 신경 이유 고객 악플에 관리자 공지 고객 연체 자동 이체 신경 최악 반대 매매,0.9491835169554642,0_로그인_등록_인증_공동인증서
85,0,최악,0.18736254216660528,0_로그인_등록_인증_공동인증서
86,0,유발 그지,0.9783427365182912,0_로그인_등록_인증_공동인증서
87,0,극한,0.9876638680824148,0_로그인_등록_인증_공동인증서
88,0,대기 설치,1.0,0_로그인_등록_인증_공동인증서
89,0,서비스 아이 로그인 인증 방식 로그인 필요 인증 방식 등록 개인정보 변경 필요 개인정보 변경 인증 방식 로그인 오류 무한루프 짜증,0.959529019116038,0_로그인_등록_인증_공동인증서
90,0,타기관 공동인증서 등록 모발,1.0,0_로그인_등록_인증_공동인증서
91,0,거지 계좌 계속 중단 거지 밥통 증권사,0.9375728828513242,0_로그인_등록_인증_공동인증서
92,0,계좌 개설 관리 선택 전화 설치 별짓,1.0,0_로그인_등록_인증_공동인증서
93,0,해외 몇번을 온라인 주소 해외여행 기간 대출 기한,0.9606350375820663,0_로그인_등록_인증_공동인증서
94,0,구독 알람 설정,0.9145132128616384,0_로그인_등록_인증_공동인증서
95,0,성의 담당자,0.9796893085061242,0_로그인_등록_인증_공동인증서
96,0,인증 절차 오류 인증 계좌인증 오류로 다음 단계 불가 구려 예전,0.9629053681372666,0_로그인_등록_인증_공동인증서
97,0,우리사주,0.9769463636030665,0_로그인_등록_인증_공동인증서
98,1,쓰레기,1.0,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
99,1,불량,0.78279672725736,1_쓰레기 쓰레기_쓰레기 불량_희대_홈페이지 쓰레기
100,0,공동인증서 발급 인식,0.9832185005618951,0_로그인_등록_인증_공동인증서
